"Personen met een uitkering; uitkeringsontvangers per regio"
"Regio's: Nederland"
"";"Onderwerp"
"";"Uitkeringsontvangers, totaal |Uitkeringsontvangers, totaal";"Uitkeringsontvangers, totaal |Tot de AOW- leeftijd";"Uitkeringsontvangers, totaal |Vanaf de AOW- leeftijd";"Uitkeringsontvangers per soort uitkering|Werkloosheid";"Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd)  tot AOW-leeftijd";"Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand(gerelateerd) vanaf AOW-leeftijd";"Uitkeringsontvangers per soort uitkering|Bijstand en bijstandsgerelateerd|Bijstand tot de AOW-leeftijd";"Uitkeringsontvangers per soort uitkering|Arbeidsongeschiktheid|Arbeidsongeschiktheid, totaal";"Uitkeringsontvangers per soort uitkering|Arbeidsongeschiktheid|WAO-uitkering";"Uitkeringsontvangers per soort uitkering|Arbeidsongeschiktheid|WIA-uitkering: WGA-regeling";"Uitkeringsontvangers per soort uitkering|Arbeidsongeschiktheid|Wajong-uitkering";"Uitkeringsontvangers per soort uitkering|AOW"
"Perioden";"aantal personen";"aantal personen";"aantal personen";"aantal personen";"aantal personen";"aantal personen";"aantal personen";"aantal personen";"aantal personen";"aantal personen";"aantal personen";"aantal personen"
"2019 oktober";"4850880";"1407950";"3442650";"207080";"465740";"54650";"414850";"754110";"231890";"181160";"213550";"3439980"
"2019 november";"4860560";"1409580";"3450660";"210510";"464820";"55460";"414130";"753540";"229940";"182130";"213270";"3448000"
"2019 december";"4875300";"1419360";"3455600";"221610";"465300";"55720";"414620";"752440";"228020";"183070";"212810";"3452950"
"2020 januari";"4878520";"1416490";"3461750";"217750";"465260";"55880";"414670";"752840";"226280";"184250";"212760";"3459050"
"2020 februari";"4888250";"1421850";"3466170";"218250";"465780";"56010";"415080";"757340";"225430";"186580";"215060";"3463490"
"2020 maart";"5315110";"1845830";"3469010";"241980";"881420";"59890";"421300";"757680";"223910";"187550";"215200";"3466300"
"2020 april*";"5388760";"1919530";"3468970";"263580";"935930";"60440";"427220";"758130";"222320";"188550";"215400";"3466240"
"2020 mei*";"5378850";"1904240";"3474360";"261930";"921440";"60700";"429500";"758120";"220550";"189490";"215670";"3471640"
"2020 juni*";"5117910";"1638230";"3479380";"263630";"650780";"58000";"429860";"750880";"217420";"188490";"211970";"3476650"
"2020 juli*";"5086010";"1597200";"3488490";"256840";"614820";"57750";"429880";"750820";"215740";"189100";"212290";"3485780"
"2020 augustus*";"5087040";"1590510";"3496250";"261030";"603510";"57930";"426570";"750940";"213970";"190110";"212520";"3493470"
"2020 september*";"5069710";"1565850";"3503520";"250850";"588700";"58000";"424400";"750450";"211710";"191250";"212570";"3500800"
"2020  oktober*";"5062080";"1552280";"3509460";"244840";"572510";"58010";"424890";"758440";"209920";"192460";"223740";"3506730"
"2020 november*";"5067840";"1553060";"3514420";"240990";"577540";"58700";"425540";"758360";"208130";"193540";"223710";"3511660"
"2020 december*";"5102030";"1582730";"3518860";"249770";"599390";"58930";"428030";"758440";"206620";"194550";"224100";"3516180"
"2021 januari*";"5133860";"1612100";"3521520";"254730";"624260";"59210";"429200";"758500";"205010";"195480";"223920";"3518770"
"2021 februari*";"5134640";"1611830";"3522580";"250980";"624600";"59300";"430290";"761820";"204230";"198180";"224590";"3519880"
"2021 maart*";"5110750";"1584120";"3526410";"237510";"608140";"59250";"430210";"763050";"202890";"199620";"224850";"3523690"
"2021 april*";"5059850";"1528990";"3530630";"230060";"557420";"58880";"428950";"764480";"201440";"200970";"225620";"3527910"
"2021 mei*";"5041440";"1501420";"3539800";"198500";"560210";"59130";"426220";"764930";"199820";"202430";"225870";"3537090"
"2021 juni*";"5023980";"1479600";"3544170";"190400";"551950";"59200";"423160";"758920";"197080";"200990";"223340";"3541390"
"2021 juli*";"5005190";"1451600";"3553320";"194880";"519010";"58960";"420080";"758590";"195460";"201570";"223420";"3550590"
"2021 augustus*";"5004520";"1444750";"3559540";"189960";"516230";"59080";"415610";"759300";"193930";"203010";"223560";"3556750"
"2021 september*";"4994630";"1426420";"3567910";"178990";"508540";"59090";"411790";"759450";"192210";"204380";"223300";"3565180"
"2021 oktober*";"4965910";"1390690";"3574880";"175850";"461560";"58880";"409860";"773260";"190730";"218560";"223840";"3572210"
"2021 november*";"4968910";"1389660";"3578920";"170680";"465800";"59570";"408180";"773040";"188910";"219970";"223380";"3576230"
"2021 december*";"4975200";"1393370";"3581310";"169230";"471990";"59660";"408140";"772120";"187330";"220800";"222830";"3578800"
"2022 januari*";"4965770";"1399140";"3566200";"172980";"470580";"59400";"407440";"775750";"187080";"223370";"222480";"3563600"
"2022 februari*";"4951890";"1398220";"3553110";"165200";"468090";"59180";"406560";"785040";"187760";"227060";"225910";"3550650"
"2022 maart*";"4933760";"1392350";"3540770";"157410";"465340";"59020";"405860";"789600";"187610";"229630";"226370";"3538410"
"2022 april*";"4916040";"1370100";"3545460";"151150";"447970";"59080";"404680";"790190";"186230";"230260";"227220";"3542930"
"2022 mei*";"4902510";"1352260";"3549610";"133890";"446340";"59190";"403050";"790540";"184840";"231020";"227740";"3547230"
"2022 juni*";"4897670";"1342650";"3554310";"133490";"444730";"59180";"401710";"782660";"182160";"228900";"224010";"3551930"
"Bron: CBS"
